"","countrycode","country","SD_HHS","SD_SOFI","Amb_mean_HHS","Amb_mean_SOFI","CO2_mean_HHS","CO2_CIu_HHS","CO2_CIl_HHS","CO2_mean_SOFI","CO2_CIu_SOFI","CO2_CIl_SOFI"
"312","MWI","Malawi",0.654117685738547,0.524744149811262,3.96045229649766,4.03670905851506,3.91732285981219,3.97235843172927,3.85908106089052,3.9935796218296,4.04861519374667,3.93533782290793
"313","MYS","Malaysia",0.668027411499559,0.444083516117977,4.01097619333986,4.13550141995341,3.96837064772902,3.97968975368083,3.95692195137067,4.09289587434257,4.10421498029438,4.08144717798422
"314","NAC","Northern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","NAFR","Northern Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","NAM","Namibia",0.780423319325289,0.473226406157533,3.66576163487877,3.85832029780974,3.62917808675895,3.65283820008431,3.60494457848517,3.82173674968991,3.84539686301528,3.79750324141614
"317","NCL","New Caledonia",NA,0.488087275732784,NA,4.05527267552951,NA,NA,NA,4.02069300061655,4.0343536369744,4.00684316368983
"318","NeFoIC","Net Food Importing Developing Countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","NER","Niger",0.599363130210716,0.51816913554843,4.12444701227618,4.16981546668667,4.10858714895119,4.13815341329551,4.07812001772937,4.15395560336168,4.183521867706,4.12348847213986
"320","NEUR","Northern Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","NGA","Nigeria",0.684081808044314,0.493690373536489,3.84355348385713,3.95567235144442,3.8101504094628,3.82941135427184,3.79051118266616,3.92226927705009,3.94153022185913,3.90263005025345
"322","NIC","Nicaragua",0.633643123567861,0.535426532885883,3.7695401095297,3.82695112749302,3.726187916664,3.76770204832232,3.6828754355206,3.78359893462732,3.82511306628563,3.74028645348392
"323","NLD","Netherlands",0.578848346924388,0.428936867281207,4.03715991502242,4.11269920133446,3.99793803123705,4.01240877188179,3.98325480973997,4.07347731754909,4.08794805819383,4.05879409605201
"324","NOC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","NOR","Norway",0.550944654978205,0.427965586347602,4.1789633338618,4.23915606873741,4.13792543075674,4.15519266151915,4.12035479612058,4.19811816563234,4.21538539639475,4.18054753099618
"326","NPL","Nepal",0.589579751168292,0.5189060482667,3.88664086905259,3.92581126708254,3.81968516511577,3.84441085038078,3.79433258724282,3.85885556314572,3.88358124841073,3.83350298527277
"327","NZL","New Zealand",0.608621394429013,0.427965586347602,4.25744125561196,4.35107398494139,4.22433393108759,4.23649260473553,4.21202560262436,4.31796666041702,4.33012533406497,4.3056583319538
"328","Oceania","Oceania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","OEC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","OED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","OMN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","OSS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","PAK","Pakistan",0.573974596479425,0.516690459418634,3.57294619958151,3.60418510285625,3.51401478097297,3.54609694099717,3.48086914305354,3.54525368424771,3.57733584427191,3.51210804632828
"334","PAN","Panama",0.703294639475334,0.488893547176172,3.81313133558905,3.94093456031117,3.77492757228685,3.78852009128939,3.76114774783506,3.90273079700897,3.91632331601151,3.88895097255718
"335","PER","Peru",0.679832425732438,0.501534271825393,3.87978780063469,3.9851055512656,3.82936497708595,3.84577506013713,3.81268110404604,3.93468272771686,3.95109281076804,3.91799885467695
"336","PHL","Philippines",0.648543069913103,0.533316772407458,3.72152157595817,3.78961224285877,3.66968585763051,3.68701030157265,3.65205597805401,3.73777652453111,3.75510096847325,3.72014664495461
"337","PLW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","PNG",NA,0.696795142317655,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","POL","Poland",0.589073735048489,0.436600915721268,4.25731286618132,4.33550661903899,4.20596345121964,4.22391296892466,4.18768585042609,4.28415720407731,4.30210672178233,4.26587960328376
"340","POLYN","Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","PRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","PRK","Democratic People's Republic of Korea",NA,0.472380727077439,NA,3.85872013789502,NA,NA,NA,3.79803147643286,3.82488513078367,3.77043675727156
"343","PRT","Portugal",0.621808527189059,0.435653040426273,4.29531344748963,4.39373958391581,4.25402830139871,4.26704216038652,4.2408428463039,4.3524544378249,4.3654682968127,4.33926898273008
"344","PRY","Paraguay",0.706431157234588,0.496850156416928,3.81092052059052,3.93701297158066,3.77807203264155,3.81342138855503,3.74142716439965,3.90416448363168,3.93951383954517,3.86751961538979
"345","PSE","Occupied Palestinian Territory",0.604781050007863,0.454988098068868,3.70894023888632,3.78831321341846,3.64272028963389,3.67065803630534,3.61397953737768,3.72209326416603,3.75003101083748,3.69335251190982
"346","PSS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","PYF","French Polynesia",NA,0.445926965707575,NA,4.30729381789167,NA,NA,NA,4.28331857069439,4.2922502304729,4.27430641688425
"348","QAT",NA,0.637362827291435,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","ROU","Romania",0.559740808450716,0.438488184159075,4.13380455482586,4.19432349732483,4.07129138984334,4.09649635076743,4.04543467606339,4.13181033234231,4.1570152932664,4.10595361856236
"350","RUS","Russian Federation",0.6315236820609,0.446844710306128,4.14439434135181,4.2439703242894,4.09410614642904,4.11470449974315,4.07307456145702,4.19368212936664,4.21428048268075,4.17265054439461
"351","RWA","Rwanda",0.696421186022621,0.530483232004731,3.64931906394005,3.75111406839153,3.59696691729033,3.62967545956996,3.56315224440767,3.69876192174181,3.73147046402144,3.66494724885915
"352","SAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","SAU","Saudi Arabia",NA,0.447759824849666,NA,4.16243544666661,NA,NA,NA,4.10738284921949,4.12710161334932,4.08726742058586
"354","SCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","SDN","Sudan (former)",0.603580638388813,0.586165253482392,3.72986821190922,3.74022815323311,3.70674416762541,3.72819824704867,3.68481970050569,3.71710410894929,3.73855818837255,3.69517964182957
"356","SEN","Senegal",0.632641721854964,0.481565215711001,3.78886627244847,3.87303151807288,3.74558195000165,3.76338623911046,3.72745491320895,3.82974719562606,3.84755148473488,3.81162015883337
"357","SGP",NA,0.645557944350314,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","SLB","Solomon Islands",NA,0.470682769970642,NA,3.91458055576153,NA,NA,NA,3.8674580829883,3.88132968799592,3.85339134659677
"359","SLE","Sierra Leone",0.603923453197455,0.551181870467148,3.72966123676718,3.76012227826231,3.68379252228196,3.70082128370318,3.66646875124457,3.7142535637771,3.73128232519832,3.6969297927397
"360","SLV","El Salvador",0.681001036576664,0.481565215711001,3.75710284065503,3.87303151807288,3.71921568558498,3.76156012756821,3.67499860378825,3.83514436300284,3.87748880498606,3.7909272812061
"361","SMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","SOASIA","SOASIA",0.578761301717286,0.502575656579066,3.68227268142149,3.72346385831129,3.61826974009689,3.64113350410223,3.59487096824278,3.6594609169867,3.68232468099204,3.63606214513259
"363","SOM","Somalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","SOTRLA","SOTRLA",0.708657027997937,0.50457183588246,4.07822061089657,4.20202163377911,4.04110847371143,4.05610381968653,4.02588483973504,4.16490949659397,4.17990484256907,4.14968586261758
"365","SouAfr","Southern Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","SouAm","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","SouAs","Southern Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","SouEAs","South-Eastern Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","SouEur","Southern Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","SRB","Serbia",0.571768614449984,NA,3.96367471081006,NA,3.91160991831074,3.93592868893699,3.8866849730394,NA,NA,NA
"371","SRB","Serbia",0.571768614449984,0.440364272662198,3.96367471081006,4.03017403872644,3.91160991831074,3.93592868893699,3.8866849730394,3.97810924622712,4.00242801685337,3.95318430095578
"372","SRB","Serbia and Montenegro",0.571768614449984,NA,3.7683659584893,NA,3.72816677094459,3.74489901026555,3.71114979271528,NA,NA,NA
"373","SRB","Serbia and Montenegro",0.571768614449984,0.440364272662198,3.7683659584893,3.83486528640567,3.72816677094459,3.74489901026555,3.71114979271528,3.79466609886096,3.81139833818192,3.77764912063165
"374","SRB","Serbia and Montenegro",0.571768614449984,NA,3.7683659584893,NA,3.72816677094459,3.74489901026555,3.71114979271528,NA,NA,NA
"375","SRB","Serbia and Montenegro",0.571768614449984,0.440364272662198,3.7683659584893,3.83486528640567,3.72816677094459,3.74489901026555,3.71114979271528,3.79466609886096,3.81139833818192,3.77764912063165
"376","SRB","Serbia",0.571768614449984,NA,3.96367471081006,NA,3.91160991831074,3.93592868893699,3.8866849730394,NA,NA,NA
"377","SRB","Serbia",0.571768614449984,0.440364272662198,3.96367471081006,4.03017403872644,3.91160991831074,3.93592868893699,3.8866849730394,3.97810924622712,4.00242801685337,3.95318430095578
"378","SSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","SSD",NA,0.663896874351497,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","SSF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","SST","Small Island Developing States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","STP","Sao Tome and Principe",0.696421186022621,0.471532852666111,3.78285045656457,3.91418007516343,3.72383980223826,3.74107515239981,3.70630217735702,3.85516942083712,3.87240477099866,3.83763179595588
"383","SUR","Suriname",0.709323440699519,0.461182277858062,3.71872204178922,3.86394736684695,3.67037928816818,3.68566428699335,3.65485702690688,3.8156046132259,3.83088961205108,3.80008235196461
"384","SUSAAF","SUSAAF",0.651145347985254,0.521649217114566,3.80967965891211,3.88561583815541,3.7719145792935,3.79563409151032,3.74761875428259,3.84785075853679,3.87157027075362,3.82355493352589
"385","SVK","Slovakia",0.552072366617744,0.430870452556948,3.81789996456066,3.87746724010881,3.76498328160158,3.79044470275825,3.73885660115303,3.82455055714972,3.85001197830639,3.79842387670117
"386","SVN","Slovenia",0.580238086725481,0.429905148832323,4.09434175839789,4.17027065854504,4.05138189514481,4.07056293333736,4.03182573782622,4.12731079529196,4.14649183348451,4.10775463797337
"387","SWE","Sweden",0.546717015478097,0.428936867281207,4.12721637150942,4.18467270095955,4.08874734722183,4.10212191769668,4.07519146997208,4.14620367667196,4.15957824714681,4.13264779942222
"388","SWZ","Swaziland",0.700603325887681,0.474069902733665,3.64639778798819,3.77944916177167,3.59821255464292,3.64090395457298,3.55361700624956,3.73126392842641,3.77395532835647,3.68666838003304
"389","SXM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","SYC","Seychelles",0.792809635437533,0.443157775521755,3.95121925939663,4.16729841141523,3.91229662382329,3.92806362356595,3.89627703795796,4.1283757758419,4.14414277558455,4.11235618997656
"391","SYR","Syrian Arab Republic",0.606384034826625,0.487279033013975,3.927023065327,3.99215343616579,3.86078196971322,3.89252269699026,3.82800064926023,3.92591234055201,3.95765306782906,3.89313102009903
"392","TCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","TCD","Chad",0.629584773846649,0.559123025587225,3.86225451681665,3.90413373167551,3.84840417196499,3.8644325513419,3.83211469295782,3.89028338682385,3.90631176620076,3.87399390781668
"394","TGO","Togo",0.626712715387717,0.50843947048936,3.79259963274995,3.85972869898852,3.75372421704299,3.78873600090953,3.71744199332269,3.82085328328156,3.8558650671481,3.78457105956126
"395","THA","Thailand",0.627181056387478,0.48969785807916,3.69514225936497,3.77191830200697,3.6417467028422,3.65716104474667,3.62609103425635,3.7185227454842,3.73393708738867,3.70286707689835
"396","TJK","Tajikistan",0.578459627734051,0.545783746027881,3.66133362602999,3.67970144777498,3.5830383536319,3.61727725916492,3.54758545692291,3.60140617537689,3.63564508090992,3.56595327866791
"397","TKM","Turkmenistan",0.63541271865557,0.461182277858062,4.10219043168954,4.19772054649899,4.04253186414379,4.07347443144099,4.01060119873249,4.13806197895325,4.16900454625044,4.10613131354195
"398","TLS","Timor-Leste",NA,0.49289570764046,NA,3.84881882424693,NA,NA,NA,3.8094604295738,3.84458018772327,3.7730622396203
"399","TON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","TTO","Trinidad and Tobago",0.632465106834299,0.484842368383255,3.95887702767821,4.04134702226993,3.91683476254838,3.93438659019974,3.89896935616938,3.9993047571401,4.01685658479146,3.9814393507611
"401","TUN","Tunisia",0.60798979910284,0.445006573545981,4.2218934493577,4.30770382201469,4.14934481106519,4.18143020530282,4.11619572092785,4.23515518372218,4.26724057795981,4.20200609358484
"402","TUR","Turkey",0.631053299595639,0.484026131241554,4.21972647433133,4.30169995993427,4.14974947313723,4.17830784476049,4.12035148407756,4.23172295874017,4.26028133036342,4.2023249696805
"403","TUV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","TWN","China, Taiwan Province of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","TZA","United Republic of Tanzania",0.616755084490229,0.539607229108392,3.74163221560205,3.78623765187131,3.69869115757156,3.73052322325836,3.66581240189029,3.74329659384082,3.77512865952761,3.71041783815955
"406","UGA","Uganda",0.656464005640205,0.531902956703636,3.6557285155573,3.72974063323286,3.61436944412846,3.63847901684992,3.58966420918304,3.68838156180402,3.71249113452548,3.6636763268586
"407","UKR","Ukraine",0.550032947139048,0.438488184159075,4.0231191484264,4.07825132607208,3.96345390485609,3.98462275883857,3.94182722130106,4.01858608250176,4.03975493648424,3.99695939894673
"408","UMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","URY","Uruguay",0.662624323390899,0.434702311372534,3.92359922941691,4.04865167663522,3.88086549669062,3.90059442960727,3.86073948591904,4.00591794390894,4.02564687682558,3.98579193313736
"410","USA","United States of America",0.635648897341451,0.428936867281207,4.15468406634389,4.26471540863308,4.12254737779154,4.13565697856301,4.10926362986075,4.23257872008074,4.2456883208522,4.21929497214994
"411","UZB","Uzbekistan",0.611785783292226,0.450489560363712,4.00251381970718,4.08818432002808,3.92811832441761,3.96019734421733,3.89497603836964,4.0137888247385,4.04586784453822,3.98064653869054
"412","VCT","Saint Vincent and the Grenadines",NA,0.462930451198671,NA,4.24955652536609,NA,NA,NA,4.20843071301171,4.22021756553385,4.1965032718526
"413","VCT","Saint Vincent and the Grenadines",NA,0.462930451198671,NA,4.24955652536609,NA,NA,NA,4.20843071301171,4.22021756553385,4.1965032718526
"414","VEN","Venezuela (Bolivarian Republic of)",0.659298319393867,0.456770035259898,4.00217056819832,4.11518827262044,3.96600336879413,3.98508519467464,3.94655033196951,4.07902107321625,4.09810289909677,4.05956803639163
"415","VIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","VNM","Viet Nam",0.605181535366995,0.49050021908041,4.07955753166674,4.14238464458235,4.03156551072652,4.04693470936095,4.01595640789414,4.09439262364213,4.10976182227656,4.07878352080975
"417","VUT","Vanuatu",NA,0.499980204875923,NA,3.96935445958822,NA,NA,NA,3.92852599398475,3.93975553859539,3.91716891317305
"418","WeAf","Western Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","WeAs","Western Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","WeEu","Western Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","WLD","World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","WSM","Samoa",NA,0.464669243895559,NA,4.2227745871751,NA,NA,NA,4.19475772004963,4.20331507506949,4.18612650419685
"423","YEM","Yemen",0.617392564747138,0.503851886924174,3.7012335086081,3.7648869361321,3.64702616049014,3.67708038264538,3.616040619739,3.71067958801414,3.74073381016938,3.679694047263
"424","ZAF","South Africa",0.775414367572497,0.45139432596569,3.91887398445718,4.1176292864191,3.88063317306444,3.92012190189814,3.83952074713991,4.07938847502636,4.11887720386006,4.03827604910183
"425","ZMB","Zambia",0.738654360675486,0.510709915981566,3.63921787315569,3.7816106962872,3.60379520759981,3.66402936144292,3.53969903259681,3.74618803073132,3.80642218457443,3.68209185572831
"426","ZWE","Zimbabwe",0.691942408917317,0.524019878347306,3.61075545308091,3.7128491852585,3.57190338944945,3.62933135374678,3.51097543649473,3.67399712162704,3.73142508592437,3.61306916867232
"427","KSV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
