"","summary.metaplantsfield1.Author.","summary.metaplantsfield2.Author.","summary.metaplantsfield3.Author.","summary.metaplantsfield7.Author.","summary.metaplantsfield10.Author.","summary.metaplantsfield15.Author.","summary.metaplantsfield18.Author.","summary.metaplantsfield20.Author.","summary.metaplantsfieldC3.Author.","summary.metaplantsfieldC4.Author.","summary.metaplantsfieldRoot.Author.","summary.metaplantsfieldOil.Author.","summary.metaplantsfieldVeg.Author."
"Al-Rawahy_et_al_2013",0,0,0,0,0,0,0,0,0,0,0,0,0
"Amthor_et_al._1994",0,0,0,0,0,1,0,0,0,0,0,1,0
"Bai_et_al._2003",0,0,0,0,0,0,0,0,0,0,0,0,0
"Baslam_et_al.__2012",0,0,0,0,0,0,0,0,0,0,0,0,0
"Baslam_et_al_2012_",0,0,0,0,0,0,0,0,0,0,0,0,0
"Blumenthal_et_al._1996",1,0,0,0,0,0,0,0,1,0,0,0,0
"Bunce_&_Sicher_2003",0,0,0,0,0,0,0,2,0,0,0,0,2
"burkey_et_al_2007",0,0,0,0,0,0,0,0,0,0,0,2,0
"Chagvardieff_et_al_1994",0,0,0,0,0,0,0,0,0,0,0,0,0
"Conn_and_Cochran_2006",0,0,0,0,2,0,0,0,0,0,2,0,0
"Conroy_et_al._1994",0,0,0,0,0,0,0,0,0,0,0,0,0
"Conroy_JP_1992",0,0,0,0,0,0,0,0,0,0,0,0,0
"Dijkstra_et_al._1999",1,0,0,0,0,0,0,0,1,0,0,0,0
"Donnelly_et_al_2001",0,0,0,0,2,0,0,0,0,0,2,0,0
"Erbs_et_al._2010___Manderscheid_et_al_2001__Wroblewitz_et_al_2013_",0,0,2,0,0,0,0,0,2,0,0,0,0
"Erbs_et_al._2010___Wroblewitz_et_al_2013",1,0,0,0,0,0,0,0,1,0,0,0,0
"Erbs_et_al._2010__Wroblewitz_et_al_2013",1,0,0,0,0,0,0,0,1,0,0,0,0
"Fangmeier_et_al._2000",0,0,0,0,0,0,0,0,0,0,0,0,0
"Fangmeier_et_al._CHIP_dataset",0,0,0,0,9,0,0,0,0,0,9,0,0
"Fangmeier_et_al_1997_",0,0,0,0,0,0,0,0,0,0,0,0,0
"Fangmeier_et_al_1997___and_1996",0,0,0,0,0,0,0,0,0,0,0,0,0
"Fangmeier_et_al_1999",1,0,0,0,0,0,0,0,1,0,0,0,0
"Fernandez_et_al._2002",0,0,0,0,0,0,0,1,0,0,0,0,1
"Franzaring_et_al._2011__2012",0,0,0,0,0,0,0,0,0,0,0,0,0
"Franzaring_et_al_2013",0,0,0,0,0,0,0,0,0,0,0,0,0
"Gleadow_et_al._2009",0,0,0,0,0,0,0,0,0,0,0,0,0
"Gray_et_al_2013",0,0,0,0,0,2,0,0,0,0,0,2,0
"Hakala_1998",2,0,0,0,0,0,0,0,2,0,0,0,0
"Högy_et_al._2009",1,0,0,0,0,0,0,0,1,0,0,0,0
"Hogy_et_al_2010",0,0,0,0,0,0,1,0,0,0,0,1,0
"Hogy_et_al_2013_",1,0,0,0,0,0,0,0,1,0,0,0,0
"Jain_2007",0,0,0,0,0,0,0,1,0,0,0,0,1
"joutei_et_al_2003_bean",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kim_et_al._2003",0,1,0,0,0,0,0,0,1,0,0,0,0
"Kim_et_al._2011",0,0,0,0,0,0,0,0,0,0,0,0,0
"kim_et_al_2005_soy",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kimball_et_al._2001;_Pinter_et_al._1997",2,0,0,0,0,0,0,0,2,0,0,0,0
"Kleemola_et_al._1994",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lam_et_al._2012a",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lam_et_al._2012b",2,0,0,0,0,0,0,0,2,0,0,0,0
"lam_et_al_2012",0,0,0,0,0,0,0,0,0,0,0,0,0
"lee_et_al_2013_rice",0,2,0,0,0,0,0,0,2,0,0,0,0
"Lin_et_al._2005",1,0,0,0,0,0,0,0,1,0,0,0,0
"Manderscheid_and_Weigel_1997",0,0,0,0,0,0,0,0,0,0,0,0,0
"Manderscheid_et_al._1995",0,0,0,0,0,0,0,0,0,0,0,0,0
"Manderscheid_et_al._1995_",0,0,0,0,0,0,0,0,0,0,0,0,0
"Manderscheid_et_al._2000",0,0,0,0,0,0,0,0,0,0,0,0,0
"Manderscheid_et_al._2001",0,0,2,0,0,0,0,0,2,0,0,0,0
"Manderscheid_et_al._2009__Erbs_et_al._2010__Wroblewitz_et_al_2013__",0,0,2,0,0,0,0,0,2,0,0,0,0
"Manderschied_et_al._1995",0,0,0,0,0,0,0,0,0,0,0,0,0
"Miyagi_et_al._2007",0,0,0,0,0,0,0,0,0,0,0,0,0
"Mjwara_1996_",0,0,0,0,0,0,0,0,0,0,0,0,0
"muelleretal_93_wheat",0,0,0,0,0,0,0,0,0,0,0,0,0
"Mulchi_et_al._1995",0,0,0,0,0,2,0,0,0,0,0,2,0
"Oikawa_et_al._2010",0,0,0,0,0,0,0,0,0,0,0,0,0
"Own",64,24,0,4,0,25,0,0,88,8,0,25,0
"Piikki_et_al_2007",0,0,0,0,1,0,0,0,0,0,1,0,0
"Pinter_et_al._1997;_Kimball_et_al._2001;_Porteaus_et_al._2009",2,0,0,0,0,0,0,0,2,0,0,0,0
"Pleijel_et_al._1999",1,0,0,0,0,0,0,0,1,0,0,0,0
"Pleijel_et_al._2000",5,0,0,0,0,0,0,0,5,0,0,0,0
"Porteaus_et_al._2009",2,0,0,0,0,0,0,0,2,0,0,0,0
"Prasad_et_al._2002;_Thomas_et_al._2009",0,0,0,0,0,0,0,0,0,0,0,0,0
"Prior_et_al._2003__2008",0,0,0,3,0,3,0,0,0,3,0,3,0
"reddy_et_al_2004_brassica",0,0,0,0,0,0,0,0,0,0,0,0,0
"Rogers_et_al._1984",0,0,0,0,0,0,0,0,0,0,0,0,0
"Rogers_et_al._1986",0,0,0,0,0,12,0,0,0,0,0,12,0
"Rogers_et_al._1996",0,0,0,0,0,0,0,0,0,0,0,0,0
"Rogers_et_al._1998",0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosenthal_et_al._2012",0,0,0,0,0,0,0,2,0,0,0,0,2
"roy_et_al_2012_rice",0,3,0,0,0,0,0,0,3,0,0,0,0
"Sæbø_and_Mortensen_1996",1,0,1,0,0,0,0,0,3,0,0,0,0
"Sanchez_de_la_Puente_et_al_2000",2,0,0,0,0,0,0,0,2,0,0,0,0
"Sator_et_al._1990",0,0,0,0,0,0,0,0,0,0,0,0,0
"Seneweera_et_al._1996__Seneweera_&_Conroy_1997_",0,0,0,0,0,0,0,0,0,0,0,0,0
"Seneweera_et_al._2011",0,0,0,0,0,0,0,0,0,0,0,0,0
"Shivashankar_and_Vlassak_1978",0,0,0,0,0,3,0,0,0,0,0,3,0
"Shivashankar_et_al._1976",0,0,0,0,0,0,0,0,0,0,0,0,0
"Singh_et_al_2013",0,0,0,0,0,0,2,0,0,0,0,2,0
"Sun_et_al_2012",0,0,0,0,0,0,0,0,0,0,0,0,0
"sun_et_al_2012_strawberry",0,0,0,0,0,0,0,0,0,0,0,0,0
"Thomas_et_al._2001;_2003",0,0,0,0,0,0,0,0,0,0,0,0,0
"Thompson_and_Woodward_1994",0,0,0,0,0,0,0,0,0,0,0,0,0
"van_Oijen_et_al._1999",4,0,0,0,0,0,0,0,4,0,0,0,0
"Weerakoon_et_al._2005",0,3,0,0,0,0,0,0,3,0,0,0,0
"Weigel_and_Manderscheid_2005",0,0,0,0,0,0,0,0,0,0,0,0,0
"Wheeler_et_al._2004",0,0,0,0,0,0,0,0,0,0,0,0,0
"Wieser_et_al_2008__Erbs_et_al._2010__Wroblewitz_et_al_2013",1,0,0,0,0,0,0,0,1,0,0,0,0
"Wieser_et_al_2008__Erbs_et_al_2010__Wroblewitz_et_al_2013",1,0,0,0,0,0,0,0,1,0,0,0,0
"Wolf_1996",0,0,0,0,0,0,0,0,0,0,0,0,0
"wolf_1996_faba_bean",0,0,0,0,0,0,0,0,0,0,0,0,0
"wolf_1998_sugar_beet",0,0,0,0,0,0,0,0,0,0,0,0,0
"Wu_et_al._1997",0,0,0,0,0,0,0,0,0,0,0,0,0
"Wu_et_al_2004",0,0,0,0,0,0,0,0,0,0,0,0,0
"Yang_et_al._2007",0,3,0,0,0,0,0,0,3,0,0,0,0
"zhang_et_al_2013_rice",0,2,0,0,0,0,0,0,2,0,0,0,0
"zhang_et_al_2013_rice__own_data",0,2,0,0,0,0,0,0,2,0,0,0,0
"Ziska_et_al._1997",0,4,0,0,0,0,0,0,4,0,0,0,0
"Ziska_et_al._1998",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ziska_et_al._2004",0,0,0,0,0,0,0,0,0,0,0,0,0
