max percent,AFG,ALB,DZA,AGO,ARG,ARM,AZE,BGD,BLR,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BGR,BFA,BDI,KHM,CMR,CPV,CAF,TCD,CHL,CHN,CHNr,CHNu,COL,COLu,COM,ZAR,COG,CRI,CIV,HRV,CZE,DJI,DOM,ECU,ECUu,EGY,SLV,EST,ETH,FJI,GAB,GMB,GEO,GHA,GTM,GIN,GNB,GUY,HTI,HND,HNDu,HUN,IND,INDr,INDu,IDN,IDNr,IDNu,IRN,IRQ,JAM,JOR,KAZ,KEN,KGZ,LAO,LVA,LSO,LBR,LTU,MKD,MDG,MWI,MYS,MDV,MLI,Marshall_IS,MRT,MEX,FSM,MICronesia,MDA,MNG,MNE,MAR,MOZ,NAM,NPL,NIC,Nicaragua,NER,NGA,PAK,PAN,PNG,PRY,PER,PHL,POL,ROM,RUS,RWA,SEN,SRB,SYC,SLE,SVK,SVN,ZAF,LKA,LCA,SDN,SUR,SWZ,SYR,STP,TJK,TZA,THA,TMP,TGO,TTO,TUN,TUR,TKM,UGA,UKR,URY,URYurban,UZB,VEN,VNM,WBG,YEM,ZMB
5,1,2,2,3,3,2,2,2,1,4,3,3,4,2,5,4,1,3,2,2,3,4,5,3,4,3,3,2,5,4,5,3,4,4,2,1,3,3,4,4,4,1,4,2,2,3,3,4,3,3,4,2,3,3,5,5,5,2,2,1,3,2,2,3,3,2,4,2,1,4,2,2,2,4,2,2,3,3,3,4,3,2,6,3,4,4,5,2,2,1,3,3,6,2,3,4,2,3,1,4,4,4,4,3,2,1,3,4,3,2,6,2,1,2,6,2,3,2,4,4,2,4,2,2,3,2,3,3,2,3,3,3,1,3,4,2,3,2,2,2,5
10,5,5,4,4,3,5,5,5,5,3,4,4,3,4,3,3,5,4,5,5,4,3,2,4,3,3,4,5,2,3,3,4,3,3,5,5,4,4,3,3,3,6,3,4,5,4,4,3,4,4,3,5,4,4,2,2,2,4,5,6,4,5,5,4,4,4,3,5,5,3,4,5,4,3,5,4,4,4,4,3,3,4,2,4,3,3,2,4,5,5,4,4,2,4,4,3,5,4,6,3,3,3,3,4,4,5,4,4,4,4,3,5,5,4,2,5,4,4,3,3,5,4,4,5,4,5,3,3,4,3,4,4,5,4,3,5,4,5,5,5,2
15,3,2,2,1,2,2,2,2,3,1,2,1,1,2,1,1,3,2,2,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,3,1,2,3,1,2,2,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,3,2,2,1,3,1,1,2,1,2,1,1,1,1,1,2,3,1,1,1,3,0,2,3,3,0,2,1,2,1,1,1,1,2,1,1,2,2,2,2,2,1,2,3,1,1,2,1,1,1,2,2
20,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0
25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0
35,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
